1.892,2.8564,398
18.367,5.9369,277
11.165,3.7053,381
8.3528,7.9564,518
2.2089,0.73534,651
11.055,9.9274,464
2.2256,7.7603,362
4.7204,0.073705,391
2.7731,8.8895,403
6.5648,8.6412,404
6.9288,6.9759,447
18.575,8.8499,315
17.766,4.6564,439
15.801,3.7156,421
1.4894,0.83022,432
8.3959,9.9722,475
7.9345,8.6983,432
8.2586,0.00070261,462
19.479,6.7998,467
4.7579,6.5488,455
2.1715,4.1181,416
16.001,4.7637,389
0.89625,3.8827,454
19.199,4.5206,419
16.033,0.2676,421
19.212,4.2529,529
15.315,1.0581,330
12.165,0.43111,387
19.781,5.5612,504
11.251,6.1129,339
9.9178,7.3883,409
5.0608,2.5692,429
3.9192,7.2626,384
9.8547,7.1325,267
14.218,5.0376,447
19.752,8.9277,412
6.6924,7.7939,416
4.4033,4.9486,473
6.9056,7.6151,338
1.8321,6.6704,394
12.632,9.7811,479
7.5638,1.1707,344
17.747,8.6932,402
8.5305,5.6786,487
17.815,1.2015,370
4.4846,9.7033,434
15.939,8.3997,435
17.166,0.62317,523
8.5419,2.7807,482
11.777,4.0963,364
1.834,6.2681,456
5.0117,9.191,320
11.875,4.1515,407
10.412,7.115,308
18.281,9.7087,442
13.266,4.3547,617
9.9931,6.3538,450
12.696,9.0156,377
1.7272,8.7158,476
0.81614,1.4272,490
15.031,2.006,395
6.4751,6.2093,344
1.3298,7.7503,422
18.465,2.4681,371
1.0872,3.6945,403
1.3589,3.411,377
11.471,4.5639,328
8.784,1.7082,416
0.54737,7.4561,290
0.99399,0.97978,374
4.7711,8.9027,410
2.546,0.82094,317
12.607,7.8152,318
9.5283,8.4868,348
2.1999,4.5088,299
8.7086,6.0533,275
18.038,3.5447,392
11.317,7.591,418
14.613,5.8944,427
19.619,6.1157,348
11.764,8.4317,362
10.063,4.5699,409
10.632,8.8279,427
12.126,4.9357,435
15.286,6.2285,441
12.012,5.6217,306
14.452,7.2166,459
8.7043,5.4677,359
12.93,7.8444,458
3.5339,4.4635,448
17.53,9.1191,430
5.0338,0.86587,330
7.1297,9.9894,423
6.0669,7.2758,408
19.355,5.5841,420
3.8458,1.4282,440
1.9573,8.3764,462
13.876,7.2525,413
1.9205,4.1738,332
3.9877,2.7317,362
12.141,3.1471,441
14.194,5.817,275
17.811,6.8936,316
12.053,8.6387,366
17.249,2.1086,333
13.519,5.0675,382
15.7,4.2505,413
10.733,2.397,365
0.088949,7.5752,543
3.9722,7.9191,417
8.7745,3.8588,466
11.166,3.1805,420
7.7026,4.8093,427
12.937,2.7851,387
11.713,1.5804,346
15.327,3.9541,365
3.4927,2.8546,441
10.062,2.4305,408
7.6535,6.4252,466
19.544,9.5692,282
18.722,1.8634,502
17.855,9.0952,410
8.8706,5.6874,295
15.031,1.9352,446
18.188,7.0424,350
7.4664,6.5158,368
2.3258,3.319,332
10.502,5.2157,414
6.8225,0.24763,366
16.988,0.22273,376
3.7246,7.9852,369
4.1749,1.0781,367
10.609,6.8881,375
1.6857,7.7503,469
4.8154,7.9149,376
12.691,7.0947,385
2.2215,9.4654,290
12.147,2.9802,415
17.795,9.9582,357
9.8137,5.5445,394
6.2702,6.5609,323
15.243,9.4535,363
19.091,2.2464,327
12.918,9.8152,397
9.7064,1.7062,447
8.7636,9.4106,417
3.7276,9.5696,404
8.8627,1.7501,364
9.7624,0.5431,384
17.223,2.6821,338
14.329,5.4601,379
12.407,7.7519,442
1.7955,6.0376,333
2.2352,3.161,306
11.512,4.3335,321
9.2331,8.4278,371
10.909,6.2613,445
0.76025,2.7255,324
11.586,5.1453,419
12.58,8.884,374
9.6385,1.743,504
3.2105,8.2007,399
15.088,1.8119,398
15.87,0.97264,509
5.8274,0.31315,427
10.152,0.10176,388
4.7598,9.6745,359
3.8537,8.8804,508
16.174,0.49685,381
1.3335,6.7021,502
3.9172,9.7662,345
19.496,2.2027,332
11.502,0.84059,443
11.664,3.5886,367
19,7.3318,390
2.0008,6.0214,384
17.575,4.5137,450
17.829,9.128,375
4.2807,0.031773,345
3.339,5.1008,359
12.923,1.4446,400
3.6069,5.0465,338
2.331,5.6821,383
7.3067,6.4217,439
8.0475,2.0693,464
1.7962,3.4019,469
13.675,3.2747,433
10.938,6.1496,381
19.719,5.9119,369
4.255,6.8792,338
18.38,1.6644,321
13.303,6.5223,354
14.87,7.6864,431
7.5691,3.9577,475
9.4954,3.9626,305
2.1252,6.9212,479
17.676,2.3767,423
8.9021,9.4888,387
13.365,1.3575,382
14.564,5.1152,350
