0.82862,7.1769,6739
6.2482,1.4002,8540
6.4354,5.8305,10642
18.966,1.95,13574
4.1468,0.63338,5994
9.7869,0.63902,8971
8.8935,9.3987,4703
16.417,5.2018,15618
0.3496,1.5012,11501
15.77,6.4659,7275
10.816,5.8378,10022
0.90953,3.1233,16794
10.277,6.7214,15149
8.9125,3.9706,15940
9.8273,2.1952,8412
13.198,2.4082,7113
10.107,3.8638,17229
14.837,0.33501,10139
18.877,3.4672,11733
15.987,5.5204,10292
8.7545,5.5844,19953
1.8063,0.66815,17887
18.671,5.8194,9087
7.5675,4.7586,13578
15.178,6.6194,13873
16.076,7.861,7477
16.085,1.9003,9498
11.916,9.6151,17080
6.4997,5.3506,14509
14.967,9.1452,16188
9.5294,6.4566,15790
10.312,1.5347,9213
9.6019,0.52182,5209
8.4803,0.15051,10718
3.5204,1.9636,14475
5.6111,5.2771,13615
17.553,1.4767,12112
17.477,0.73134,13190
9.7917,5.5484,7087
12.126,9.8128,21288
